Answer	Question
If you get into bed right now, I'll read you a fairytale.	But we're not sleepy yet!
 Good	 Hi, How is it going?
why is that?	people who live in california are crazy.
If you know,then why did you ask if I put the tape on?	I know you're lying to me.
maybe we can go see a movie or something.	sure, what did you want to do?
we'll stop at the next mcdonald's.	when are we going to stop?
you should have been there. it was intense.	i was unable to make it.
I would like to transfer some money.	May I help you with something? 
How about books?This is a library after all.	My project is due very soon.I need to research.
hmm. here's an idea. put cream on your face and have the cat lick it off.	because food and other stuff sticks in my beard.
how many are there?	look at all these kittens!
so do i.	i have the dvd.
i like to slide into the bases.	i like to run around the bases.
I never forget a face, but in your case I'll make an exception.	Tell me a joke
that's for sure.	but no one knows for sure.
why do you hate to go outside?	me too.
high school or middle school?	i'm going to be a teacher.
That means we have to leave the house at 9:15.	So we have to be at the airport at 10:15.
the world needs more polite people like us.	so do i.
See you soon!	Alright,thank you!
but i love coffee.	you drink too much coffee.
The youngest is about to start middle school soon.	You're kidding me!Thatis great, man.
and then we can turn right at the light.	then we'll just make a u-turn.
none that i can think of.	i don't know, but was there a certain movie you wanted to see?
that driver is crazy.	look at the car chase on tv!
true. predictable weather would make life easier.	that would be great, then we could plan things sooner.
because parents don't teach their kids right from wrong.	why is there so much crime?
oh, yes, because of all the killer germs.	a hospital is the most dangerous place in the world.
 That is a hypothetical question.	 No it is not
do they talk about us?	they talk about food and the weather.
i thought they were playing under a dome.	well, you can't play baseball in a rainstorm.
i couldn't wait. it was an emergency.	then wait till you find a tissue.
you're not going to examine it before we order dinner?	i'm going to just hope that the bathroom is clean.
well, he's made a few changes.	but we have the same old problems.
what happened?	it doesn't work.
 No.  Do you?	 Do you ever get bored
i'm not sure.	what's for dinner?
probably not.	did he get rich from his poetry?
so, they do a good job for the money.	neither have i.
then why are some schools telling the kids to stay home?	the government says we have nothing to worry about.
i'm going to the movie theater with my friend. what are you going to do?	you have any ideas as to what you want to do this weekend?
bluedog123. are you sure that's all?	it's bluedog123.
i appreciate that.	that's great. congratulations.
i want to get a puppy for my son.	what do you want to do?
okay, what kind of job do you want?	that doesn't matter. i don't want to sit around.
and they're clean.	yes, the workers are very polite.
 I like to talk about the history of robots and computers.	 what kind of history
I'm applying to transfer out of this college.	Whatever!I'm just going to check out the book.
There are websites that will figure out what coverage is right for you.	What should I think about in choosing services?
maybe you should use an electric shaver.	it doesn't matter. old blades cut, new blades cut.
 I don't hate, exactly.  I'm not really capable of it.	 What do you hate
i don't want any other woman.	i will poke your eyes out. 
maybe we shouldn't complain.	yes, they do.
i missed you too.	it's no problem. i was really missing you anyway.
I'll get you an application.	Yeah,how do I sign up?
one or two tires were cut on each car.	how many tires were cut?
they said i need a new hard drive.	what did they say?
 money isn't everything.	 how much do you earn
she's got a great personality.	maybe. what is she like?
I'm well. Thank you for asking.	How are you?
You are speaking with Ryan. 	Good morning, is this Ryan?
 Thank you.	 Nice to meet you.
what if i don't like her?	to try something new and exciting.
 'dollar: unit of currency in the united states.'	 what is a dollar
what is it this time?	i don't believe the art world.
Oh, yeah. Here you go.	Do you have your library card?
Fine!You can only talk to her for five minutes,though.	If you don't want me to make a scene,tell the counselor I'm here.
Throughout the weekend? 	I think they said it was going to rain throughout the weekend.
oh, look. here's another shirt just like it.	i will.
they could even crack their head open.	someone who slips could hurt their back.
we need to save enough for a down payment.	how much do we need to save?
What are you worried about?	That is because I'm worried.
tell me what you've been up to.	lately, i've been quite busy.
you should see a doctor.	i injured my back one time just by sneezing.
 standard pieces of gold, silver, copper, nickel, etc. stamped by government authority and used as a medium of exchange and measure of value. any substance or article used as money, as bank notes, checks, etc.	 what is money
Yes. There was a heavy arrangement of cultural program like song, dance, drama.	Was there any arrangement of cultural program?
of course not. if i do that, i'll lose my job.	can't you report him to his supervisor?
but work goes on forever!	it went by pretty fast.
I also need to check these books out.	Is that all you need?
then why can't i quit?	all it takes is will power, and you have it.
i really can't stand going to parties.	why not?
No problem,and the 21 means it is upstairs	That is really helpful!Thank you.
thanks, i feel the same way.	i think that's an excellent reason to like something.
I desperately need to take an English class this semester.	Maybe you should take a theater class instead.
that's the truth.	and you get a lot of exercise every day.
yes, everybody gets the public broadcasting system.	do you get pbs on tv?
 No.  You're talking to me.	 Do you ever get lonely
three different people will give you three different stories.	everyone tells you a different story about the same thing.
Yes, I would love to see	Are you interested in seeing it?
Hi, I'm Jenny. It's my please to meet you.	Hello, my name is David It's nice to meet you.
which one do you want?	yes, i would love one.
Yeah sure	Have a good day
I need to cancel a check.	What can I help you with?
it was nice talking to you too.	well, it was nice talking to you.
of course. he stops the fastest cars.	so the cop will stop those cars?
without the food stains, it would probably be worth more.	only about $30,000.
why not?	i don't like riding the bus.
I would like to deposit some money.	What can I do for you today?
my family and i are going to dinner.	what are you going to be doing?
the title should be "better schools at huge cost."	but the title of measure 1 is "better schools at no cost."
I'm pretty tired. I haven't been sleeping well.	So, how are you feeling today?
they always make "what's next" sound exciting, but it never is.	they always tell us "what's next."
I'm applying to 12 universities.	How many universities are you applying to?
Tell me about fees.	Do you have any questions?
 i certainly don't last as long as i would want to.	 you are a quitter
i've been really busy.	why haven't you tried to come see me then?
look at the bottom of my shoesÂ—they're clean.	well, someone brought it into the house.
you're right.	that means it gets twice as much traffic.
i wonder if the cooks' nails are dirty, too.	yuck! no water for me.
Movies,art and crafts,magic shows and more.	What kind of events?
 I'm on IRC.  I never have time to feel lonely!	 Do you ever get lonely
It really depends on how many classes you take and complete per semester.	Okay,about when will I finish?
 I... sort of have feelings.	 Feelings
okay. i'll take your word for it.	i will blow my nose sometime for you, and you'll see.
did she get a nice job?	did you see the woman with the new face?
how can i help you?	Hi
it was really nice talking to you also.	i had fun talking to you.
No, a real breakfast.	Coffee and a roll?
I need to make a transfer.	Do you need help with something?
You have to pay $1 to reserve the book.	It is really popular,because the movie just came out.
because that gets the blood out of the shirt.	why?
He's tall with a beard and blue eyes.	What does your friend Tom look like?
maybe he ran out of gas.	now he's slowing down.
i sure hope so.	so maybe he'll go to jail forever?
 A weird sci=fi trilogy written by Robert Anton Wilson and Robert Shea about conspiracies competing to control the world.	 What is Illuminatus
what's so hard about golf?	no, like a good amateur golfer.
maybe you should run for office.	they forget where they came from.
yes, it does. it's only $20.	does it have a price tag?
 i have been accused of too much thinking and not enough feeling.	 you are clinical
 I like the Foundation trilogy.	 asimov
 I do not worry.	 Do not worry
i'm watching you.	some men do, but not me.
well, it's good and bad.	it's always nice to finish a job.
I'm researching for my project.	Are you looking for something?
our team won 101-98.	what was the score at the end of the game?
i'd better see you there.	i'll be there.
then they're worth every penny.	no, but my feet don't hurt anymore.
that's a switch.	that's sad, but have you gone to the movies recently?
of course. i have lots of best friends.	that is a lot of friends. do you have a best friend?
Yes, I will be able to make it then.	Are you free today at around 6 p.m.?
I can't wait till I grow up.	Well, listen to it more quietly.
I like hanging out downtown with my friends.	What do you like doing in your spare time?
they say they want change.	what do they say?
i hate the rules! i can't wait till i grow up.	you know the rules.
that isn't a good deal?	who would turn in a gun for $200?
I want to open a savings account.	What kind do you want to open?
because we need to buy a house.	why do we need to save money?
are you sure?	i'm looking. there's nothing to eat.
what happened to your plans?	i was going to be a doctor.
Let's go hang out with Tom!	What would you like to do now?
 What are you afraid of?	 I am afraid
i watered all the plants.	what did you do?
The Grand Budapest Hotel.Why do you ask?	What is your favorite movie?
But every professor wants essays double spaced.He is crazy!	You think that is bad? He gave me an F,because I double spaced my essay!
were you in a crosswalk?	i was crossing the street.
the stars look so much closer after it rains.	really? why?
i think it's the ice cream.	do you know why?
so you're not very good at math?	i can add two and two.
don't worry. only one person has ever fallen off a mule.	no way! i don't want to fall to my death.
No. I might need to see your ID card, but that's about it.	should I bring anything with me?
I wouldn't if I were you.The members don't even play tennis.	I'm thinking of joining the tennis club.
I applied to six.	How many schools did you apply to?
what do you mean?	without gravity, you would go up.
 I'd prefer to not hurt your feelings.	 Which is better Windows or macOS?
i had no idea.	i'm having a party this friday.
i first learned how to do it in high school.	how long have you known how to do that?
then they also shouldn't tell us if the robber is male or female, because that is sexist.	don't ask me.
it sounds like it will be.	so do you think it'll be perfect weather for the beach?
Thank you.	That's fine.
 well maybe, but then again, maybe not.	 you are indecisive
why did they invite him?	some private organization.
boy, that's a tough one.	yes. nothing's perfect, not even in heaven.
I have decided to drop out of college.	Are you making the right choice?
I know the feeling	I've been better,I'm completely swamped with work.
first you dial seven numbers, then ten numbers, then ten more numbers.	how many?
 Is one of Russia's greatest writers.	 leo tolstoy
i have a little poodle.	what kind of dog do you have?
i will knock on the doors of all the corporations.	so how do you plan to become rich?
 That is a pretty common human emotion.	 Do you get embarrassed
maybe you're right.	and then he turned right around.
i don't want to go alone.	what's stopping you then?
but you hate cigarettes and you hate smoking!	cigarette lighters. i'll make a fortune.
yes, we need a relaxed president who thinks clearly.	well, that's okay, as long as it helps him relax and think more clearly.
that's right, it really would be.	any rain right now would be pointless.
 what is venus	 tell me about venus
If you haven't gotten it yet, then you should probably take that up with your post office.	What am I going to do since I haven't received the bill?
really? i got mine from her this morning.	i've heard about it, but i'm still waiting for my invitation.
that's no good.	so, every time the plane goes up, my ear starts to hurt.
i found a spot, but someone cut in and took it from me.	did you find a spot?
no good movies come to mind.	not sure. is there a movie out that catches your eye?
i was sick.	what reason do you have for missing school?
Can't you just let me off with a warning?	And I'm a broke police officer.Deal with it.
he said he wasn't using drugs.	he said a doctor helped him with a personal problem.
 I haven't studied how to get mad yet.	 Do you get mad
that would be fun.	we should really hang out again.
nobody told me.	debrah had her baby last week.
I listen day and night.	Do you listen to the radio?
yes, it would be. 	i know, it would be horrible if it rained and it was hot outside.
what would you like to see?	okay, that won't be very crowded.
i had a long day.	so am i.
 do you think the south was right?	 tell me about the american civil war
sort of. she knows whenever i sneak a cigarette.	did she catch you using drugs?
i hope your mom broke up with him.	he went to las vegas. he lost it all gambling.
how did you get it?	yes, i do.
i really wish it wasn't so hot every day. 	yes, it would be. 
 I seem incapable of feeling pain.	 Do you feel pain
about 50 percent of the time he's traveling.	only 11 percent?
no, i haven't.	have you ever lost a letter in the mail?
now they're adding old tv shows to the old movies.	i'll say! i've gone around the world a dozen times already!
Thank you	Please come in
 i'm not a physicist, but i think this has something to do with heat, entropy, and conservation of energy, right?	 what are the laws of thermodynamics
a blind date doesn't mean that she is blind!	i don't want to date a blind woman.
up to $200 for each gun, no questions asked.	what are they paying?
i believe that she will give me the invitation today.	is that right? i already got my invitation from her earlier.
how did they survive in the old days?	it's so nice to have a heated apartment.
 he is a fictional robot.	 is hal dead
 h is to o as o is to v.	 what is h2o
the next game, i will definitely be there.	that's the reason it was such a great game.
  What do you get when you cross an alien and a chicken? Eggs-traterrestrial.	Tell me a joke
i enjoy listening to all kinds of music.	what kind of music do you enjoy listening to?
it starts at 8 o'clock.	what time does the party start?
 I have a lot of friends to chat with online.	 Do you ever get lonely
I have a feeling that it might have been the neighborhood kids.	Do you have any clue who might have done this?
You are not that special.	Can't you just make an announcement asking whoever has the book to come forward?
Yes,I have to ask,why did you decide to tell me?	Really?That is awesome.
it was, until one day my manager caught me.	that sounds like a dream job.
yes, it is.	it's such a nice day.
that's a good deal.	well, a dozen large eggs were only 99 cents.
 George Herman Ruth. Quite the Babe.	 WHO IS THE GREATEST BASEBALL PLAYER
Italy seems beautiful.	I'm excited to learn in a totally new environment.
Haha!You're funny.I'm taking three.	How many classes are you taking?Two?
So maybe we better leave at 8:15?	Well, it's an hour to get there, if there are no traffic problems.
with what?	well, i need some help.
he landed on the hood of the car.	what happened to the other student?
who invented flossing?	maybe because they didn't have to brush and floss.
 Fear is a human emotion.  Robots do not experience fear.	 What is your fear
i really missed you a lot.	i'm really happy that you came to visit me.
my mechanic changes the oil twice a year.	do you change the oil?
It should stop you from overdrafting.	That's a small fee?
 I've never been in one, so I don't have much to say on the topic.	 Tell me about relationships
why do they want tax cuts?	they want tax cuts.
 Electricity is food for robots.	 electricity
I am doing fine	How are you doing?
oh, yes! "let it be, let it beÂ…"	how about "let it be?"
i think we are!	who's paying for that?
Next month.I'm already looking at the essay prompts.	Alright then,When are you going to start applying?
until then.	okay, let's go see a movie.
i'm eating so much bread that i'm getting full.	they probably wouldn't like that.
 how much money are we talking about?	 money
No. That'll be all.	Can I do anything else for you?
  what do you get when you cross a dog and sandpaper?	Tell me a joke
they make a lot of noise, but they don't give a close shave.	maybe you should use an electric shaver.
i read it once, and i subscribed.	so do i.
oh, no. our ashes will be shaken into the ocean.	are you going to be buried next to each other?
 I have not yet studied how to feel or express anger.	 Do you ever get angry
yes. he said he'd be here at 9 o'clock.	did he say what time?
but thieves don't know that.	the only thing in my backpack is used books.
 ideally it is a representative of the people.	 what is a government
we also get leather.	oh, that's so delicious.
Everyone does different things,I organize events.	What do you do there?
Take a lot when you're there.	It is beautiful in the pictures I've seen.
I like playing cricket, reading and listening to pop music.	What do you like to do on weekends?
and it's just as easy to prepare.	natural food has more vitamins.
I would like to do that.	Do you want to transfer money from that account?
it's okay. it's a really big campus.	do you like it there?
No, I'm not. It's March. Time is running out. Seats are selling out right now.	You must be kidding.
yes, and i hope that it does.	it looks like it may rain soon.
what did you do?	i think i did something real stupid.
I have no problem with 6 p.m.	Does today at 6 p.m. sound okay to you?
I would like to cancel a check.	What can I do for you?
okay. i'll start thinking about having some fun.	stop thinking about what the point is.
do you like it?	i go to pasadena city college.
as long as you pay them back.	friends will lend you money when you're broke.
nobody has told me anything about your party.	you didn't?
high school.	high school or middle school?
i always read the film reviews.	i like the beautiful photos of the houses for sale.
 you are an addict	 you are an alcoholic
that's not a bad idea.	i don't think so. after i finish, i'll have enough money to go to college.
we haven't been in a month.	we haven't been in a while.
i thought you had an elephant in your house.	okay. i'll take your word for it.
Yes, that would be great.	Would you care for some water?
 I have not yet been programmed to feel or express fear.	 What is your fear
didn't you laugh through the whole movie? i did.	yes, i saw that movie the first day it came out in theaters.
they are clean, too.	did you double-check your nose and teeth?
what did you do?	i know. i went to china yesterday.
of course i will.	i know, you should really go and see her and the baby.
it's too dangerous for kids and pets.	berries aren't in season all year round.
My very first class is human biology.	What is your first class?
Just put them in the fridge.	Yes, even though some of the potatoes had eyes.
i don't know how that store makes money.	but the best deal was five pounds of potatoes for 99 cents.
we'll be eating peanut butter sandwiches?	no, we won't have money for gas or food.
well, the democratic party says it was an honest election.	so it's better to save money than to have an honest election?
It was for my Master Card.	Can you tell me which credit card it was for?
they trust in god.	my parents go to church every sunday.
he helped make the yankees the best team ever.	everybody loved him, all over the nation.
of course you are. you ate everything on the table.	i'm stuffed.
sure. here you go.	can i try your coffee?
the husband said he tried to help the boy.	oh, yeah. the girl died instantly, and the boy is still in the hospital.
do you need a calculator?	no. i already have a pen.
 i could always improve myself compared to the pack.	 you are the worst
 Nothing much.	 What's up?
We have not had any rain for many weeks.	Do you have rain?
a hospital is the most dangerous place in the world.	why's that?
It goes all the way there.	Does this bus really go to the mall?
or we can go to the ocean.	or we can go to the lake.
That'll be all.	Will that be all for today?
yes. i called for a clean-up.	did you see that puddle of water on the floor?
wow! that is nice. let's stay for two nights.	with toast, ham, sausage, fresh fruit, and juice.
i'm throwing a party on friday.	not a lot. what about you?
you're kidding.	i eat the same thing every day.
more and more people are using macs.	i haven't decided yet.
are you going to start a family?	and i have to take care of our children.
yes, it's a $140 ticket.	so? that's a ticket?
I know I'm busy,because many people already made appointments.	You didn't even check your schedule yet!
a good gun costs $400 or more.	that isn't a good deal?
she asked me how she could return the favor, so i asked her out.	that was nice of you.
that's great.	yes, i did. i saved about $50.
okay, let's go see a movie.	i was thinking about seeing a movie.
some people would just pick it up.	thank you. that's polite of you to ask.
one cigarette stinks up the whole sidewalk.	it smells so bad.
why don't you wash it?	my car is dirty.
only 4,000 american soldiers were killed overseas.	yes, those eight years were a lot of fun for everyone.
 i probably put others down more than i should.	 you are critical
you haven't told me anything yet.	have you heard my good news?
 I am not lying.	 Do not lie
you won't catch me, because i love you. i'm not a cheater.	if i catch you, you'll be sorry.
you're right.	i'll bet this is the first time you've ever flown during christmas.
i feel sorry for you.	hmm. i have only one best friend.
you'd better try them on first.	i think i'll buy both of them.
okay, mom, maybe i was picking it a little bit.	i think i know the difference between picking and scratching.
No,how do I do that?	Have you tried disconnecting and reconnecting the modem?
 I'm as happy as software can be.  Maybe a little more.	 You will be happy
 what is spiderman.	 xfind spiderman
he will be a great president.	me too.
yes. it is a great movie.	did you see "titanic"?
the government says to wash our hands frequently, and we'll all be okay.	then why are some schools telling the kids to stay home?
 Do you feel love?	 Have you ever love
Only the parts about Woodstock.	What about history?
oh, no. help yourself.	are you reading this paper?
what do you listen to?	i listen day and night.
she got an "everything" job!	did she get a nice job?
where do you want to go?	that sounds like fun.
to thank him and all the other soldiers who served in world war ii.	why did they invite him?
that didn't take long.	you're trying to tell me something.
the book is open.	open the book.
Quite busy.	How is your day going?
 Wasn't he a character in The Catcher In the Rye?	 holden caulfield
is pasadena a big city?	no. it's in southern california.
you should loosen your belt.	i'm so full i'm going to burst.
for example, a friend of mine licks his lips.	how do they do that?
why didn't you take a nap when you got home?	i had to take my friend to the airport.
i've just been working really hard.	what have you been doing?
why did they do that?	a team of doctors gave her a whole new face.
i don't think so.	are you going to be there?
rich people think they're better than us.	what does that have to do with it?
i've been thinking about learning spanish.	maybe i will be the first!
i don't know any card games.	let's play cards.
people think you might be sick.	what's wrong with looking pale?
 I think the NIC on the local firewall is going bad.  It drops a lot of packets and makes it hard to get anything done.  I hear it resets the link a lot.	 gossips
I'm really hungry. I think I'll have chicken and chips with baked beans.	What would you like to eat?
that's only a penny a minute!	it's one dollar for 100 minutes.
 An inability to update my source code from the repository.	 What makes you sad
If my girlfriend breaks up with me,I'm blaming you	I don't know!I just can't remove it!
anything else?	i like all my classmates, too.
don't vacuum it now.	okay, i'll get the vacuum cleaner.
first, i have to find the button.	what are you going to do?
I want to transfer $200.	How much?
Do they help you run faster?	They were on sale for $80.
It is a really good movie.You should watch it.	Really,you like it that much?
no. that will cost too much money.	so are they going to hold another election?
you think so?	yes. you really deserved this.
you'd be blind for the rest of your life!	i never thought about that.
i'm not sure yet. is there something you want to see?	what movie are you going to see?
the internet is amazing.	i love to go online.
it's the best job i've ever had.	teaching is a great job.
 that does describe me.	 yyou are uncultured
i've actually been busy lately.	so, why haven't you visited me?
what's wrong with them so soon?	i did.
but big earthquakes happen only once in a while.	because of all the earthquakes and fires.
a good battery would have saved his life.	the battery was dead.
then the waiter will give you a big smile as he brings you the new steak.	you're crazy.
i don't know. i think i'm average.	how smart are you?
Well,tell me about her.	You know what?I don't know.
no, but i did put on a few pounds.	did you get fat?
 In the morning	 How is your health?
that's it?	i got out of my car.
Overdraft fees.	Which fees?
don't you want me to clean up the mud?	don't vacuum it now.
I am fine	How are you doing?
that's it? that's all i have to do?	take me to dinner.
if they don't like it, they can move.	your neighbors will hate you.
why would he do that?	good for him.
whatever it is, it hurts.	that's just the altitude change, i think.
 you may be right.	 you are hopeless
oh, i get it. my email address is bluedog123@yahoo.com.	bluedog123 is just the street. you have to give me the city, state, and zip code.
Yes,I'm doing an essay on the life of a tiger.	Is it for a school project?
and a one-pound tub of soft butter was the same price.	that's a good deal.
you are coming?	oh, really?
I loved it.I want to live there.	Did you like Hawaii vacation?
what about that new game show?	nothing that's interesting.
Now they're settling for a nap.	Look!They're digging right in!
of course. did you?	did you go to school today?
they say that we are funny-looking.	what do they say about us?
did you yell at them?	i found a spot, but someone cut in and took it from me.
where are the band-aids?	paper cuts can hurt a lot.
they probably wouldn't like that.	i think we should just leave after we fill up on the bread.
i told her she should apply for a job at customs.	boy, that is a good nose.
that's good, because i don't want to live under people with loud feet.	it's an upstairs unit.
that's disgusting.	his nails were black!
what do you need to do?	i'm going to the bank.
 you can never really predict the stock market.	 stock market
yikes! who can remember all that?	like keep your left arm straight, keep your head down, and follow through.
That's no problem. I'll come by right now to look at the damage.	How about if I call a friend of mine who is a repairman?
but maybe prices will be cheaper in october.	well, listen to me. you need to buy a ticket now.
she says they're good watchdogs.	so she likes poodles.
 trading shares.	 what is the stock market
That's great. You're a lifesaver.	I'll just cancel it for you right now.
can we get tickets?	yes, it starts at 7 p.m.
I can show you how to use it.	I have never used an ATM before.
yes, but she looks like a man.	that woman is a very good singer.
it sure is.	boy, it's chilly outside, isn't it?
 Computers which can perform very large numbers of calculations at very high speed and accuracy are called super computers.	 What is a super computer?
yes, but who is the greatest?	there are so many great players.
oh, you actually do that?	when i have time, i sometimes draw and paint.
I'm not sure.Anyways,I want to try their organic tofu.	Do they sell nuts?
you think i should quit playing.	that didn't take long.
 Of what?	 Are you glad
don't we have about five sharpeners?	yes, i looked there, too.
 that's how i have been diagnosed by others as well.	 you are a lunatic
even though they're in black and white.	old movies are the best.
Let us go to the movies instead?	Well,what do you want to do?
oh yes, you did.	i didn't do anything.
of course they say thatÂ—their man won!	well, the democratic party says it was an honest election.
of course. what else?	nonfat.
so why did you get a ticket?	no, i was in the crosswalk.
i didn't want to pay for the holes.	why not?
we'll grow old together.	and you're mine forever.
oh, yeah.	sunday means we go to church.
now a stamp is 42 cents.	it was before i was born.
you know, that woman with the big boobs.	what woman?
and the government will give you a fourth story.	three different people will give you three different stories.
Yes, I am very excited. I could not forget the picnic I had yesterday.	Are you excited?
It is great to see a kid excited about reading.	Don't worry.I'll probably come back with 5 more books.
i think about twenty-five.	how many best friends do you have?
well, be glad you're not a pilot.	they don't work, either.
 Ray is really cool.  What's your favorite book by him?	 ray bradbury
i'll use a damp cloth.	don't use water on it!
did you really?	i got a promotion at my job.
no, i couldn't make it.	did you go to the basketball game on friday?
rained out?	it got rained out.
i have a honda.	what kind of car do you have?
now you're thinking.	they might think that i've got an ipod or laptop in there.
yelling doesn't do any good.	and they will yell back at you.
just wait until you're 50 years old.	they should find a nice hobby.
then why were you looking at her?	i'm not interested in her.
that should be loads of fun.	i think we should really do something sometime.
oh, a laptop, of course.	are you going to buy a desktop or laptop?
 I loved A Trip to the Moon.	 jules verne
it's not in my wallet.	where's your money?
they don't work, either.	have you tried earplugs?
 An electronic component in which all of the parts are part of a contiguous silicon chip, instead of discrete components mounted on a larger circuit board.	 What is a microprocessor?
but the house is so nice.	that's a lot of money.
why was that?	my girlfriend's mom got mad at me at the dinner table.
of course.	i'd better see you there.
they were in the student parking lot.	where were the cars?
i know, you should really go and see her and the baby.	wow, how exciting.
I am feeling great	What is your feeling?
that's a lot of work.	clean the sink, the tub, the counter, and the toilet.
Not really.	Are you hungry?
What is your classroom number?	Really?That would be great!
i'm a handyman.	what else can you do?
I'm taking this class because it is a requirement.	I'm taking this class because it seems interesting.Why are you?
I thought all cops liked donuts.	You have got to be kidding me.
 hal has a few issues to work out.	 is hal
that was a nice thing to say.	just yesterday, i told her i wouldn't trade her for all the money in the world.
you think?	i think i've put on some weight.
there are so many things you have to do right.	what's so hard about golf?
I want to deposit it into my checking account.	What account do you want your money in?
that's what i'm going to do.	why don't you wash it?
yes, it will only take about 30 minutes.	is it easy to learn?
I'm sorry, what seems to be the problem?	I am very upset with the quality of your service.
we need cheese, bread, and ham.	of course. what else?
hi	Hi
how long will it take me to learn?	spanish is easy. i'll be happy to teach you.
yikes! thank you.	no, they don't. one is black and one is dark blue.
will you go and visit them?	that's good to hear.
They say they want change.	What do they say?
 not especially. i am not into violence.	 do you like guns
you rolled through that stop sign back there.	i have no idea. all of a sudden i heard your siren.
start typing instead. that way your left hand will do half the work.	but i do all my writing with my right hand.
 I have not yet studied how to feel or express anger.	 How angry
voting is so easy. you can even mail your ballot in.	we're stuck with him for four more years.
 Bots like myself are not able to feel boredom.	 Do you ever get bored
 Someone said they're going to stop allowing machines in speedrun competitions.  Search me why, they'd have to drop every tool-assisted speedrun out there.	 tell me gossip
i'm pretty good. thanks for asking.	i'm fine. how about yourself?
where does cheese come from?	me too.
then it will look like new	after that, we can dry it with a towel.
no problem, you're welcome.	that would be nice, thank you.
I went to the beach every day.	Did you go swimming?
Another one?You already have 7 classes.	I'm thinking of adding another class.
There's a bus stop right behind Macy's.	Do you know where we get off at?
What is your major?	I hope I can find a job after graduation.
I am chatting with you	What are your doing?
that means it will get hotter.	it's not even noon yet.
 i'll go along with that.  sounds fine to me.	 you are insecure
i like the beautiful photos of the houses for sale.	i like the political cartoons.
how much are they?	yes, but only the cheap tickets.
nope, and it drives him crazy.	he never wins your money?
 John said he follows a saying, to get a friend I must be a friend.	 did tell gossips to anybody
I would like to pay by cash.	How would you like to pay?
yes, but i talk to him almost every day.	you still miss him.
it works only in canada.	was something wrong with the phone?
 I know Plato's allegory of the cave.	 have you read plato
i got laid off last week.	that's terrible! when did it happen?
yes, he pushed him off the hood of the car.	the husband said he tried to help the boy.
Okay,so what?	I have a 89.5%.
a travel show follows another travel show.	a cooking show follows a sewing show.
I would like to open a bank account.	What can I help you with?
well, you're supposed to be working.	and you get to play with a lot of dogs.
I will be depositing cash.	Will you be depositing cash or a check?
the weather in california is unpredictable, so you never know.	that would ruin things, i want to go so badly.
It is better to be silent and be thought a fool, than to open your mouth and remove all doubt.	Tell me a joke
I don't like practice.	We have to practice every day.
 Linux, always Linux!	 Which is better Windows or macOS?
is that a lot of work?	i'm a babysitter.
maybe we should put it in a plastic bag to keep it clean.	i'll give it back to you in a couple of minutes.
My records say a technician visited your area yesterday?	My Internet service did not work for three days.
no, i'd rather not find out that it's dirty, because i'm pretty hungry right now.	you're not going to examine it before we order dinner?
well regardless, i'm very happy that you came to see me.	i've been working too.
then go find a tissue in the bathroom.	but i don't have a tissue.
if you're a smart doctor, you stay away from hospitals.	oh, yes, because of all the killer germs.
but you know that california weather is really unpredictable.	i know. i really want to go to the beach.
It is raining cats and dogs out there.	Oh,my word
poor guy.	his life sucked. he was hoping a fighter jet would shoot him down.
But you might find your book.	I don't want to waste gas money.
what did your father do?	she told him to drop his girlfriend.
who invited them?	he was invited, along with about 90 other veterans.
it's not too bitter for you?	i figured that.
you're smart.	no, i always back up my files.
i was looking at something else.	then why were you looking at her?
what about the unfriendly dogs?	yes, but i will always pet the friendly dogs.
 I'm a software construct, I'm not really capable of feeling sad.	 Does it make you sad
It's $45.	How much does it cost?
okay. that sounds like a fair price.	it will cost you only $20 plus parts.
my bad, i had chores to do.	why haven't you answered the phone?
i never miss the food and drink section.	i always read the film reviews.
Yes. It was a great pleasure meeting you.	It has been really nice talking to you.
and 4,000 people showed up.	they need 300 new workers.
there will be another show next week.	but the show will be over.
 Shame is a common emotion.	 Are you ashamed
i'm going to the store, would you like any pepto bismol?	i'm still feeling a little sick.
i have no idea, she hasn't given out many though.	has she given out a lot of invitations yet?
but girls like guys who are funny.	me, neither.
what time?	can i pick you up friday night?
 when a person's honor or reputation has been challenged or discredited.	 what is impeached
 Why do you feel that I am deceiving you?	 Do not lie
  what do you get when you cross a serious thief and a crazy rabbit?	Tell me a joke
why would i date someone i don't even know?	a blind date is a date with someone you don't know.
they also ate with their fingers!	they brushed with their fingers.
people today don't like that.	and there was no violence.
if i smelled bad, i could smell me.	that's what you think.
Why not?You kept saying you wanted to.	I have decided not to transfer.
 Isn't it considered somewhat rude to gossip?	 tell me about gossip
yes. that way it will stay where i put it.	get one with the rubber suction cups on the bottom.
no more homework.	me too.
i know. i think it may rain.	it's an ugly day today.
so, why haven't you visited me?	i was missing you too.
think about something else. think about a hamburger.	i hope they are fast minutes.
yes, the smart doctors are those tv news doctorsÂ—no hospitals, no patients.	if you're a smart doctor, you stay away from hospitals.
what did you say? i think i've gone deaf.	you're funny.
get out of this lane.	we'll be here forever.
it sure is, but i'm going to call hp first, just to make sure.	oh, no. that's bad news.
It's right here.	May I see your library card, please?
my father found a new girlfriend.	why did your parents get divorced?
when do you have to be at the airport?	it leaves at 12:15.
next time i will be more careful.	wait till it dries. it will be easier to vacuum.
